,count,mean,std,min,25%,50%,75%,max,mediane,valeurs_zero,taux_zero_pct,valeurs_manquantes
Bwd IAT Total,200000.0,9260220.436075,27861096.90435636,0.0,0.0,3.0,80634.25,120000000.0,3.0,90141,45.0705,0
Bwd IAT Mean,200000.0,1634606.8071224804,8541197.90300562,0.0,0.0,3.0,14467.849999999999,120000000.0,3.0,90141,45.0705,0
Bwd IAT Std,200000.0,1197898.7990985066,5251399.917266094,0.0,0.0,0.0,12326.387331405575,81300000.0,0.0,145213,72.6065,0
Bwd IAT Max,200000.0,3994093.45413,15261585.999716561,0.0,0.0,3.0,49181.75,120000000.0,3.0,90141,45.0705,0
Bwd IAT Min,200000.0,926131.244015,8113457.414383304,0.0,0.0,1.0,16.0,120000000.0,1.0,90930,45.465,0
Fwd PSH Flags,200000.0,0.04302,0.20290265017349388,0.0,0.0,0.0,0.0,1.0,0.0,191396,95.698,0
Bwd PSH Flags,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Fwd URG Flags,200000.0,0.0001,0.009999524986343091,0.0,0.0,0.0,0.0,1.0,0.0,199980,99.99,0
Bwd URG Flags,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Fwd Header Length,200000.0,167.100785,6893.899833021358,0.0,40.0,64.0,100.0,3047144.0,64.0,133,0.0665,0
Bwd Header Length,200000.0,169.20997,8859.550296600268,0.0,20.0,40.0,92.0,3924980.0,40.0,31599,15.7995,0
Fwd Packets/s,200000.0,57404.63413370617,232599.77411297275,0.0,2.26865735325,62.62721152,12195.12195,3000000.0,62.62721152,182,0.091,0
Bwd Packets/s,200000.0,7493.588347850089,38894.56194324412,0.0,0.167011067675,21.385571159450002,8403.361345,2000000.0,21.385571159450002,31675,15.8375,0
Min Packet Length,200000.0,16.62816,24.208077271221395,0.0,0.0,2.0,36.0,1359.0,2.0,88372,44.186,0
Max Packet Length,200000.0,907.66884,2032.450998127225,0.0,6.0,82.0,356.25,23360.0,82.0,21419,10.7095,0
Packet Length Mean,200000.0,166.93019090920754,311.333729475625,0.0,6.0,55.3333333333,109.0,2433.333333,55.3333333333,21419,10.7095,0
Packet Length Std,200000.0,286.72960032172296,650.7512012944954,0.0,0.0,22.558610531,141.3124198,4731.522394,22.558610531,50768,25.384,0
Packet Length Variance,200000.0,505639.9730715587,1818232.509898408,0.0,0.0,508.8909091,19969.2,22400000.0,508.8909091,50768,25.384,0
FIN Flag Count,200000.0,0.024715,0.15525556124160733,0.0,0.0,0.0,0.0,1.0,0.0,195057,97.5285,0
SYN Flag Count,200000.0,0.04302,0.20290265017349388,0.0,0.0,0.0,0.0,1.0,0.0,191396,95.698,0
RST Flag Count,200000.0,0.00028,0.01673089954590004,0.0,0.0,0.0,0.0,1.0,0.0,199944,99.972,0
PSH Flag Count,200000.0,0.31965,0.46634211141052273,0.0,0.0,0.0,1.0,1.0,0.0,136070,68.035,0
ACK Flag Count,200000.0,0.302095,0.45916736071755554,0.0,0.0,0.0,1.0,1.0,0.0,139581,69.7905,0
URG Flag Count,200000.0,0.099055,0.29873659500095723,0.0,0.0,0.0,0.0,1.0,0.0,180189,90.0945,0
CWE Flag Count,200000.0,0.0001,0.009999524986343091,0.0,0.0,0.0,0.0,1.0,0.0,199980,99.99,0
ECE Flag Count,200000.0,0.00028,0.01673089954590004,0.0,0.0,0.0,0.0,1.0,0.0,199944,99.972,0
Down/Up Ratio,200000.0,0.7199,0.7236688527793927,0.0,0.0,1.0,1.0,43.0,1.0,70388,35.194,0
Average Packet Size,200000.0,187.27678125956672,340.59728355915814,0.0,7.5,71.0,139.21249999999998,2595.555556,71.0,21419,10.7095,0
Avg Fwd Segment Size,200000.0,61.16333799067955,209.5697245154584,0.0,6.0,32.0,48.0,4714.37931,32.0,29306,14.653,0
Avg Bwd Segment Size,200000.0,287.4769566016901,599.0470107973323,0.0,6.0,67.0,167.95,3869.0,67.0,48064,24.032,0
Fwd Header Length.1,200000.0,167.100785,6893.899833021358,0.0,40.0,64.0,100.0,3047144.0,64.0,133,0.0665,0
Fwd Avg Bytes/Bulk,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Fwd Avg Packets/Bulk,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Fwd Avg Bulk Rate,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Bwd Avg Bytes/Bulk,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Bwd Avg Packets/Bulk,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Bwd Avg Bulk Rate,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,100.0,0
Subflow Fwd Packets,200000.0,6.60356,331.82125051304035,1.0,1.0,2.0,4.0,147194.0,2.0,0,0.0,0
Subflow Fwd Bytes,200000.0,527.78757,3335.2270226192936,0.0,6.0,56.0,132.0,489184.0,56.0,29306,14.653,0
Subflow Bwd Packets,200000.0,6.76713,442.2555904243603,0.0,1.0,2.0,4.0,196249.0,2.0,31589,15.7945,0
Subflow Bwd Bytes,200000.0,7931.51628,980544.9792628909,0.0,6.0,116.0,394.0,435748658.0,116.0,48064,24.032,0
Init_Win_bytes_forward,200000.0,6881.13963,13950.30736422647,-1.0,-1.0,256.0,8192.0,65535.0,256.0,4919,2.4595,0
Init_Win_bytes_backward,200000.0,1909.498485,8391.660325520379,-1.0,-1.0,-1.0,229.0,65535.0,-1.0,22727,11.3635,0
act_data_pkt_fwd,200000.0,3.071155,28.475355593835097,0.0,0.0,1.0,2.0,5411.0,1.0,67882,33.941,0
min_seg_size_forward,200000.0,25.8045,6.614650294459457,0.0,20.0,20.0,32.0,60.0,20.0,140,0.07,0
Active Mean,200000.0,85473.29689248781,705369.7861475447,0.0,0.0,0.0,0.0,107000000.0,0.0,162905,81.4525,0
Active Std,200000.0,40170.82939758078,400507.96558824385,0.0,0.0,0.0,0.0,50400000.0,0.0,185416,92.708,0
Active Max,200000.0,157774.386095,1092049.029268614,0.0,0.0,0.0,0.0,107000000.0,0.0,162905,81.4525,0
Active Min,200000.0,63099.28873,642067.5480575816,0.0,0.0,0.0,0.0,107000000.0,0.0,162905,81.4525,0
Idle Mean,200000.0,6318351.828067116,19699685.859222665,0.0,0.0,0.0,0.0,120000000.0,0.0,162545,81.2725,0
Idle Std,200000.0,623252.1776017398,5214558.765078995,0.0,0.0,0.0,0.0,73500000.0,0.0,183245,91.6225,0
Idle Max,200000.0,6773571.185545,20817316.375041977,0.0,0.0,0.0,0.0,120000000.0,0.0,162545,81.2725,0
Idle Min,200000.0,5838553.74783,19261268.27395181,0.0,0.0,0.0,0.0,120000000.0,0.0,162545,81.2725,0
