Feature 1,Feature 2,Correlation
 Fwd Header Length.1,Subflow Fwd Packets,0.999768303388831
 Fwd Header Length.1, Subflow Bwd Packets,0.9990459133830429
 Fwd Header Length.1, Subflow Bwd Bytes,0.9947428569340583
 Fwd Header Length.1, act_data_pkt_fwd,0.9989533224110684
Subflow Fwd Packets, Subflow Bwd Packets,0.9989000386601793
Subflow Fwd Packets, Subflow Bwd Bytes,0.9958569573309075
Subflow Fwd Packets, act_data_pkt_fwd,0.9996599828632672
 Subflow Bwd Packets, Subflow Bwd Bytes,0.9926179492338328
 Subflow Bwd Packets, act_data_pkt_fwd,0.9984062010628378
 Subflow Bwd Bytes, act_data_pkt_fwd,0.9962684146804007
Idle Mean, Idle Max,0.9956080245525923
Idle Mean, Idle Min,0.9964062547376944
 Idle Max, Idle Min,0.9844456420272211
